# LSTM+CNN FFT Tahmin Sonuçları
# Model: Genişletilmiş (seq96)
# Sequence Length: 96


## apo_yukarı.csv
Satır sayısı: 215744
Tahmin sayısı: 1685
Dağılım: {'yukarı': 1685}
Ortalama güven: 99.4%

Detaylı tahminler:
  97376: yukarı     (100.0%)
  97504: yukarı     (100.0%)
  97632: yukarı     (100.0%)
  97760: yukarı     (100.0%)
  97888: yukarı     (99.7%)
  98016: yukarı     (99.7%)
  98144: yukarı     (99.7%)
  98272: yukarı     (99.7%)
  98400: yukarı     (100.0%)
  98528: yukarı     (100.0%)
  98656: yukarı     (100.0%)
  98784: yukarı     (100.0%)
  98912: yukarı     (99.8%)
  99040: yukarı     (99.8%)
  99168: yukarı     (99.8%)
  99296: yukarı     (99.8%)
  99424: yukarı     (99.9%)
  99552: yukarı     (99.9%)
  99680: yukarı     (99.9%)
  99808: yukarı     (99.9%)
  99936: yukarı     (99.8%)
  100064: yukarı     (99.8%)
  100192: yukarı     (99.8%)
  100320: yukarı     (99.8%)
  100448: yukarı     (100.0%)
  100576: yukarı     (100.0%)
  100704: yukarı     (100.0%)
  100832: yukarı     (100.0%)
  100960: yukarı     (99.9%)
  101088: yukarı     (99.9%)
  101216: yukarı     (99.9%)
  101344: yukarı     (99.9%)
  101472: yukarı     (100.0%)
  101600: yukarı     (100.0%)
  101728: yukarı     (100.0%)
  101856: yukarı     (100.0%)
  101984: yukarı     (99.6%)
  102112: yukarı     (99.6%)
  102240: yukarı     (99.6%)
  102368: yukarı     (99.6%)
  102496: yukarı     (99.7%)
  102624: yukarı     (99.7%)
  102752: yukarı     (99.7%)
  102880: yukarı     (99.7%)
  103008: yukarı     (100.0%)
  103136: yukarı     (100.0%)
  103264: yukarı     (100.0%)
  103392: yukarı     (100.0%)
  103520: yukarı     (98.3%)
  103648: yukarı     (98.3%)
  103776: yukarı     (98.3%)
  103904: yukarı     (98.3%)
  104032: yukarı     (98.4%)
  104160: yukarı     (98.4%)
  104288: yukarı     (98.4%)
  104416: yukarı     (98.4%)
